Player,Team,Type,Price,Season
Mohammed Azharuddeen,-,BAT,0,2025
LR Chethan,-,BAT,0,2025
Aryaman Singh,-,BAT,0,2025
Urvil Patel,-,BAT,0,2025
Sanskar Rawat,-,BAT,0,2025
Bipin Saurabh,-,BAT,0,2025
Tanay Thyagarajan,-,BAT,0,2025
Money Grewal,-,BOWL,0,2025
Ashwani Kumar,MI,BOWL,0.3,2025
Ishan Porel,-,BOWL,0,2025
Abhilash Shetty,-,BOWL,0,2025
Akash Singh,LSG,BOWL,0.3,2025
Gurjapneet Singh,CSK,BOWL,2.2,2025
Basil Thampi,-,BOWL,0,2025
Murugan Ashwin,-,BOWL,0,2025
Shreyas Chavan,-,BOWL,0,2025
Chintal Gandhi,-,BOWL,0,2025
Raghav Goyal,-,BOWL,0,2025
Jagadeesha Suchith,-,BOWL,0,2025
Roshan Waghsare,-,BOWL,0,2025
Bailapudi Yeswanth,-,BOWL,0,2025
Sediqullah Atal,-,BAT,0,2025
Matthew Breetzke,LSG,BAT,0.75,2025
Mark Chapman,-,BAT,0,2025
Brandon King,-,BAT,0,2025
Evin Lewis,-,BAT,0,2025
Pathum Nissanka,-,BAT,0,2025
Bhanuka Rajapaksa,-,BAT,0,2025
Steven Smith,-,BAT,0,2025
Gus Atkinson,-,AR,0,2025
Tom Curran,-,AR,0,2025
Krishnappa Gowtham,-,AR,0,2025
Mohammad Nabi,-,AR,0,2025
Gulbadin Naib,-,AR,0,2025
Sikandar Raza,-,AR,0,2025
Mitchell Santner,MI,AR,2,2025
Jayant Yadav,GT,AR,0.75,2025
Johnson Charles,-,BAT,0,2025
Litton Das,-,BAT,0,2025
Andre Fletcher,-,BAT,0,2025
Tom Latham,-,BAT,0,2025
Ollie Pope,-,BAT,0,2025
Kyle Verreynne,-,BAT,0,2025
Fazalhaq Farooqi,RR,BOWL,2,2025
Richard Gleeson,-,BOWL,0,2025
Matt Henry,-,BOWL,0,2025
Alzarri Joseph,-,BOWL,0,2025
Kwena Maphaka,RR,BOWL,1.5,2025
Kuldeep Sen,PBKS,BOWL,0.8,2025
Reece Topley,MI,BOWL,0.75,2025
Lizaad Williams,MI,BOWL,0.75,2025
Luke Wood,-,BOWL,0,2025
Sachin Dhas,-,BAT,0,2025
Leus du Plooy,-,BAT,0,2025
Ashwin Hebbar,-,BAT,0,2025
Rohan  Kunnummal,-,BAT,0,2025
Ayush Pandey,-,BAT,0,2025
Akshat Raghuwanshi,-,BAT,0,2025
Shoun Roger,-,BAT,0,2025
Virat Singh,-,BAT,0,2025
Priyansh Arya,PBKS,AR,3.8,2025
